,ID,FoodGroup,Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA
490,15022.0,Finfish and Shellfish Products,"Fish, cusk, raw",87.0,18.99,0.69,0.0,0.0,0.0,18.0,0.387,1.04,0.0,0.0,2.0,2.6860000000000004,0.133,0.042,10.0,0.018,0.83,31.0,0.015,204.0,36.5,0.38,0.02,0.2276470588235294,0.4333333333333333,0.0,0.0,0.005,0.167875,0.1023076923076923,0.035,0.0083333333333333,2e-05,0.0738095238095238,0.2914285714285714,0.6636363636363637,0.0345454545454545
491,17355.0,"Lamb, Veal, and Game Products","Lamb, New Zealand, imported, Intermuscular fat, raw",640.0,4.63,68.53,1.26,0.0,0.0,46.0,0.052,0.45,0.0,0.84,0.0,1.13,0.034,0.094,5.0,0.023,0.72,6.0,0.002,61.0,2.3,0.87,0.0511111111111111,0.0305882352941176,0.1875,0.0,0.0559999999999999,0.0,0.070625,0.0261538461538461,0.0783333333333333,0.0041666666666666,2.5555555555555557e-05,0.0142857142857142,0.0871428571428571,0.0418181818181818,0.079090909090909
492,7030.0,Sausages and Luncheon Meats,"Ham, minced",263.0,16.28,20.68,1.84,0.0,0.0,0.0,0.26,0.95,0.0,0.27,1.0,4.162,0.19,0.7120000000000001,10.0,0.08,0.79,16.0,0.031,157.0,20.0,1.9,0.0,0.1529411764705882,0.3958333333333333,0.0,0.018,0.0025,0.260125,0.1461538461538461,0.5933333333333334,0.0083333333333333,8.888888888888889e-05,0.0380952380952381,0.2242857142857142,0.3636363636363637,0.1727272727272727
493,43528.0,Beverages,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",141.0,5.16,4.52,19.88,8.33,0.0,149.0,0.198,0.6,11.9,1.34,67.0,1.984,0.171,0.151,79.0,0.198,1.79,40.0,0.516,79.0,7.1,1.51,0.1655555555555555,0.1164705882352941,0.25,0.1322222222222222,0.0893333333333333,0.1675,0.124,0.1315384615384615,0.1258333333333333,0.0658333333333333,0.00022,0.0952380952380952,0.1128571428571428,0.1290909090909091,0.1372727272727272
494,10921.0,Pork Products,"Pork, cured, ham and water product, slice, boneless, separable lean and fat, heated, pan-broil",124.0,15.08,5.13,4.69,4.69,0.0,13.0,0.335,0.44,0.0,0.13,2.0,4.283,0.1369999999999999,0.308,8.0,0.085,0.74,17.0,0.037,240.0,32.6,1.63,0.0144444444444444,0.1970588235294118,0.1833333333333333,0.0,0.0086666666666666,0.005,0.2676875,0.1053846153846154,0.2566666666666666,0.0066666666666666,9.444444444444446e-05,0.0404761904761904,0.3428571428571429,0.5927272727272728,0.1481818181818181
495,19256.0,Sweets,"Candies, MARS SNACKFOOD US, MILKY WAY Caramels, milk chocolate covered",463.0,4.28,19.17,68.49,58.65,0.7,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077777777777777,0.0,0.0,0.0,0.0,0.0,0.1175,0.0,0.0,0.0,0.0,0.0
496,11380.0,Vegetables and Vegetable Products,"Potatoes, mashed, dehydrated, granules without milk, dry form",372.0,8.22,0.54,85.51,3.47,7.1,1.0,0.861,0.0,37.0,0.27,40.0,4.765,0.253,0.4529999999999999,41.0,0.102,1.09,98.0,1.121,245.0,27.1,0.91,0.0011111111111111,0.5064705882352941,0.0,0.4111111111111111,0.018,0.1,0.2978125,0.1946153846153846,0.3775,0.0341666666666666,0.0001133333333333,0.2333333333333333,0.35,0.4927272727272728,0.0827272727272727
497,28098.0,Baked Products,"KEEBLER, FUDGE SHOPPE, Magic Middles Fudge Filled Cookies, Peanut Butter",514.0,6.9,28.4,59.2,34.5,2.7,0.0,0.01,0.0,0.0,0.0,0.0,1.7,0.16,0.23,0.0,0.0,1.2,6.0,0.0,87.0,0.0,0.2,0.0,0.0058823529411764,0.0,0.0,0.0,0.0,0.10625,0.123076923076923,0.1916666666666666,0.0,0.0,0.0142857142857142,0.1242857142857142,0.0,0.0181818181818181
498,9258.0,Fruits and Fruit Juices,"Pears, canned, extra heavy syrup pack, solids and liquids",97.0,0.19,0.13,25.25,0.0,1.6,0.0,0.0139999999999999,0.0,1.1,0.0,1.0,0.238,0.022,0.01,5.0,0.048,0.22,4.0,0.032,7.0,0.0,0.08,0.0,0.008235294117647,0.0,0.0122222222222222,0.0,0.0025,0.014875,0.0169230769230769,0.0083333333333333,0.0041666666666666,5.333333333333333e-05,0.0095238095238095,0.01,0.0,0.0072727272727272
499,14530.0,Beverages,"Whiskey sour mix, bottled, with added potassium and sodium",84.0,0.1,0.1,21.4,0.0,0.0,1.0,0.0,0.0,2.7,0.0,0.0,0.0,0.01,0.013,2.0,0.0,0.11,1.0,0.0,6.0,0.1,0.07,0.0011111111111111,0.0,0.0,0.03,0.0,0.0,0.0,0.0076923076923076,0.0108333333333333,0.0016666666666666,0.0,0.0023809523809523,0.0085714285714285,0.0018181818181818,0.0063636363636363
500,35136.0,American Indian/Alaska Native Foods,"Cornmeal, white (Navajo)",398.0,10.99,5.04,77.14,1.46,10.4,0.0,0.583,0.0,0.0,0.37,32.0,2.8,0.1369999999999999,0.31,11.0,0.2189999999999999,3.79,125.0,0.6459999999999999,280.0,0.0,3.24,0.0,0.3429411764705882,0.0,0.0,0.0246666666666666,0.08,0.175,0.1053846153846154,0.2583333333333333,0.0091666666666666,0.0002433333333333,0.2976190476190476,0.4,0.0,0.2945454545454545
501,17434.0,"Lamb, Veal, and Game Products","Veal, seam fat only, cooked",505.0,11.16,50.17,2.11,0.0,0.0,0.0,0.203,1.62,0.0,0.52,0.0,2.84,0.16,0.047,43.0,0.081,1.15,24.0,0.034,152.0,9.7,2.0,0.0,0.1194117647058823,0.675,0.0,0.0346666666666666,0.0,0.1775,0.123076923076923,0.0391666666666666,0.0358333333333333,9e-05,0.0571428571428571,0.2171428571428571,0.1763636363636363,0.1818181818181818
